time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.1311,-1.91188,2.601795,-1.582904,47.6681,90.22922,357.3813
72.14447,-1.909814,2.601689,-1.582843,47.72678,90.39108,357.4656
72.15373,-1.907793,2.601727,-1.582859,47.78132,90.55986,357.564
72.16229,-1.905681,2.601657,-1.582913,47.771,90.70926,357.6745
72.17039,-1.903404,2.601621,-1.582959,47.75228,90.83001,357.7753
72.18148,-1.901334,2.601687,-1.583129,47.71764,90.92848,357.864
72.1926,-1.898993,2.601629,-1.583245,47.68261,90.98859,357.9214
72.20374,-1.896503,2.601642,-1.583319,47.67962,91.05573,358.0076
72.21491,-1.894062,2.601619,-1.583477,47.69944,91.07301,358.0476
72.22591,-1.891488,2.601515,-1.583714,47.68613,91.1013,358.1183
72.23697,-1.88865,2.601295,-1.583924,47.65566,91.10409,358.1403
72.24839,-1.885794,2.601097,-1.584257,47.59266,91.10382,358.1885
72.26931,-1.882768,2.600857,-1.584534,47.53433,91.10714,358.2268
72.28064,-1.879684,2.60064,-1.585036,47.48602,91.05167,358.2168
72.28863,-1.876376,2.600364,-1.585385,47.42622,90.9964,358.2201
72.29617,-1.873161,2.600108,-1.585946,47.37993,90.94409,358.2218
72.30421,-1.869731,2.599786,-1.586528,47.33076,90.87747,358.2132
72.31477,-1.866338,2.599402,-1.587293,47.30963,90.81667,358.2379
72.32584,-1.862823,2.59897,-1.588184,47.30262,90.76614,358.3221
72.33704,-1.859256,2.598646,-1.589125,47.30256,90.67098,358.3609
72.34817,-1.85584,2.598481,-1.590242,47.26573,90.59928,358.4401
72.35914,-1.852148,2.598195,-1.591365,47.2029,90.48328,358.4751
72.37027,-1.848206,2.597829,-1.592625,47.09486,90.37179,358.5174
72.3815,-1.844261,2.59751,-1.593834,46.97247,90.21214,358.5244
72.39247,-1.839941,2.597213,-1.59515,46.81667,90.07547,358.5301
72.40379,-1.835233,2.596933,-1.596541,46.62743,89.91029,358.5612
72.41556,-1.830558,2.59667,-1.598117,46.40989,89.75475,358.6476
72.42612,-1.825697,2.596445,-1.599849,46.19438,89.61054,358.7322
72.44685,-1.820761,2.596308,-1.601444,46.01389,89.47256,358.798
72.45518,-1.815619,2.596222,-1.603317,45.85674,89.32004,358.8611
72.46277,-1.810541,2.596176,-1.605165,45.71504,89.16055,358.9046
72.47073,-1.805098,2.596347,-1.606966,45.642,88.96358,358.8941
72.48143,-1.799724,2.596581,-1.608981,45.61073,88.74445,358.8553
72.49249,-1.794024,2.596951,-1.611063,45.55759,88.5093,358.8054
72.50388,-1.788213,2.597368,-1.613107,45.44037,88.32896,358.7818
72.52452,-1.782247,2.597864,-1.615263,45.30441,88.20207,358.7997
72.53278,-1.776313,2.598126,-1.617332,45.15092,88.06561,358.7694
72.54043,-1.770333,2.598144,-1.619278,44.99986,87.94553,358.6988
72.55795,-1.764484,2.59813,-1.621238,44.8588,87.8133,358.5948
72.57005,-1.758605,2.598279,-1.622975,44.85859,87.67852,358.3817
72.57813,-1.752486,2.598694,-1.624603,45.01405,87.54678,358.1443
72.58605,-1.746597,2.599267,-1.62635,45.26616,87.38614,357.8652
72.59357,-1.740835,2.599849,-1.627796,45.58185,87.27417,357.5909
72.60362,-1.735295,2.600382,-1.629263,45.8162,87.21799,357.4067
72.62453,-1.729988,2.600783,-1.630508,45.99831,87.22198,357.2823
72.63272,-1.724549,2.601028,-1.631726,46.10093,87.25671,357.2076
72.64029,-1.719229,2.601172,-1.632772,46.09896,87.34489,357.2874
72.64824,-1.713687,2.601424,-1.633865,46.04013,87.36959,357.4023
72.6591,-1.708041,2.601824,-1.634832,45.92953,87.38203,357.6049
72.67029,-1.702148,2.602395,-1.63568,45.84881,87.36337,357.7676
72.68136,-1.696084,2.603323,-1.636237,45.80411,87.31685,357.914
72.69236,-1.690019,2.604333,-1.636811,45.82084,87.24349,358.0109
72.70361,-1.684731,2.605332,-1.637463,45.90186,87.13634,358.0199
72.7147,-1.679692,2.606201,-1.638102,45.94962,87.08331,358.03
72.72648,-1.67414,2.606806,-1.638301,45.95042,87.06635,358.0807
72.73698,-1.668761,2.607594,-1.638572,45.94992,87.07775,358.1518
72.74808,-1.663221,2.60815,-1.638663,45.98825,87.11631,358.2458
72.76895,-1.657955,2.60886,-1.6387,46.06403,87.16417,358.3649
72.77707,-1.652542,2.609365,-1.638744,46.11321,87.15173,358.4915
72.78471,-1.647215,2.609676,-1.638646,46.10921,87.07716,358.6137
72.79263,-1.641451,2.61017,-1.637633,46.09442,87.05233,358.7089
72.80357,-1.636384,2.610081,-1.637686,46.05402,86.9454,358.7296
72.81461,-1.631276,2.609911,-1.637438,46.03476,86.86107,358.7048
72.82581,-1.626299,2.609669,-1.636983,45.98949,86.7858,358.6182
72.84667,-1.621815,2.609144,-1.636583,45.89271,86.72746,358.5396
72.85496,-1.617057,2.608349,-1.636104,45.79136,86.72292,358.4585
72.8628,-1.612067,2.607645,-1.635226,45.6931,86.75891,358.3305
72.87082,-1.607429,2.606516,-1.634509,45.62782,86.81863,358.1583
72.89103,-1.603039,2.605209,-1.633876,45.58302,86.88264,358.0085
72.89933,-1.598731,2.603932,-1.6331,45.62022,86.96259,357.8891
72.90716,-1.594687,2.60252,-1.632176,45.76759,87.02824,357.7068
72.92435,-1.590617,2.601096,-1.631185,45.96003,87.10466,357.5162
72.93279,-1.586894,2.599278,-1.630052,46.09819,87.27696,357.3272
72.94036,-1.583283,2.59711,-1.628923,46.08908,87.46721,357.1878
72.95778,-1.579686,2.594796,-1.627836,45.98915,87.74133,357.1619
72.96605,-1.57569,2.593088,-1.62677,46.01998,88.03696,357.1835
72.97363,-1.570989,2.592535,-1.625541,46.34813,88.37342,357.32
72.98158,-1.566126,2.592525,-1.624508,46.7743,88.62845,357.3866
72.99229,-1.56097,2.592748,-1.623348,47.18098,88.84714,357.4889
73.01321,-1.556165,2.592521,-1.622047,47.33458,89.12733,357.7684
73.02145,-1.551463,2.591714,-1.620868,47.35027,89.45951,358.1142
73.03311,-1.546806,2.590813,-1.619799,47.41192,89.84184,358.3964
73.04109,-1.541969,2.590357,-1.618717,47.52598,90.39097,358.9248
73.04899,-1.537148,2.589987,-1.617932,47.68903,90.87936,359.5558
73.05894,-1.532351,2.589957,-1.617181,47.98164,91.31287,0.262489
73.07993,-1.527261,2.590254,-1.616397,48.37593,91.71378,0.940589
73.08819,-1.522208,2.590705,-1.615637,48.79129,92.07928,1.486481
73.09569,-1.517285,2.591299,-1.615036,49.146,92.3988,1.886693
73.10369,-1.51194,2.591761,-1.614317,49.42701,92.66903,2.17495
73.11449,-1.506673,2.592242,-1.613723,49.59799,92.89979,2.359627
73.1256,-1.501161,2.59268,-1.613036,49.69625,93.15285,2.54357
73.1367,-1.495675,2.592944,-1.61226,49.67191,93.41886,2.707516
73.14791,-1.490337,2.592966,-1.611636,49.51406,93.68202,2.83536
73.15882,-1.48492,2.592899,-1.610799,49.36244,93.99127,2.99303
73.17003,-1.47964,2.592596,-1.61019,49.31247,94.21515,3.061864
73.18118,-1.474387,2.592215,-1.609571,49.37431,94.41955,3.094554
73.20203,-1.469063,2.591763,-1.608821,49.48909,94.5768,3.076851
73.21022,-1.463664,2.591249,-1.608054,49.58352,94.71252,3.018642
73.21778,-1.458431,2.590526,-1.607525,49.6082,94.8745,3.00657
73.22563,-1.452876,2.589751,-1.606837,49.63033,95.03892,3.001822
73.23654,-1.447423,2.588732,-1.606353,49.61813,95.16588,3.053771
73.24768,-1.441824,2.587607,-1.605807,49.61083,95.24847,3.148494
73.26856,-1.436102,2.586257,-1.605083,49.60085,95.31879,3.331506
73.27667,-1.430458,2.584787,-1.604599,49.65401,95.35621,3.477619
73.28421,-1.424848,2.583227,-1.604235,49.79089,95.37387,3.653149
73.30194,-1.419171,2.581751,-1.603832,50.00849,95.41811,3.840751
73.31006,-1.413481,2.580271,-1.603703,50.34453,95.40997,4.068218
73.31755,-1.407825,2.578791,-1.603783,50.66354,95.4103,4.32897
73.32529,-1.401815,2.57739,-1.603845,50.91076,95.40751,4.607242
73.33659,-1.395464,2.576042,-1.603894,51.07431,95.3354,4.870034
73.34834,-1.388907,2.574828,-1.603907,51.16576,95.22025,5.10114
73.35874,-1.382174,2.573467,-1.604443,51.16977,94.98999,5.252953
73.36997,-1.37512,2.572194,-1.604949,51.15379,94.74767,5.384106
73.39079,-1.367925,2.570902,-1.60572,51.08139,94.4333,5.396796
73.39902,-1.361067,2.569488,-1.606749,51.00899,94.15361,5.395284
73.40665,-1.353704,2.568228,-1.607698,50.94124,93.86778,5.325571
73.42403,-1.346213,2.566914,-1.608678,50.88243,93.57569,5.262676
73.4323,-1.338707,2.565531,-1.609972,50.81373,93.21532,5.162569
73.43991,-1.330965,2.564128,-1.611147,50.74786,92.77039,5.021264
73.44798,-1.323279,2.562753,-1.61265,50.7345,92.26324,4.836652
73.45878,-1.315867,2.561448,-1.614191,50.74634,91.76973,4.649112
73.46986,-1.308182,2.560058,-1.616009,50.80392,91.24004,4.41002
73.48097,-1.300365,2.558769,-1.618084,50.92293,90.74805,4.171021
73.49212,-1.292401,2.557608,-1.620204,51.05715,90.29597,3.996048
73.50414,-1.284165,2.556659,-1.62214,51.14754,89.86797,3.842048
73.52415,-1.275965,2.555715,-1.624397,51.14972,89.41721,3.706229
73.53242,-1.267287,2.554915,-1.627004,51.06792,88.91011,3.514552
73.54,-1.258481,2.554219,-1.629406,50.9331,88.40923,3.310126
73.55747,-1.249307,2.553794,-1.631876,50.72738,87.85634,3.042699
73.566,-1.23987,2.553601,-1.634037,50.54375,87.36214,2.804706
73.57374,-1.230294,2.553653,-1.636538,50.38916,86.87123,2.538916
73.59079,-1.220796,2.553772,-1.638989,50.27808,86.41377,2.310996
73.59916,-1.210921,2.553985,-1.641347,50.15085,85.93983,2.115049
73.60694,-1.201499,2.554217,-1.643682,49.97705,85.48381,2.000008
73.61499,-1.191984,2.554757,-1.645946,49.8055,84.97166,1.919722
73.63521,-1.182269,2.555803,-1.648033,49.78661,84.34994,1.81233
73.64365,-1.172397,2.557676,-1.649913,50.04329,83.62754,1.727063
73.65527,-1.162728,2.559711,-1.651649,50.4124,82.64018,1.421774
73.66326,-1.153545,2.561367,-1.653298,50.60868,81.4951,1.055964
73.6713,-1.144779,2.562747,-1.654639,50.56771,80.25072,0.75915
73.69073,-1.136031,2.564028,-1.655874,50.53059,78.92395,0.336283
73.69918,-1.127584,2.565795,-1.656961,50.68827,77.57993,359.8049
73.70692,-1.11901,2.567978,-1.658054,50.97219,76.28236,359.3468
73.71487,-1.110834,2.57008,-1.659121,51.19386,74.97588,358.9306
73.7253,-1.102837,2.571897,-1.660147,51.23369,73.77211,358.5642
73.73637,-1.095133,2.573288,-1.661067,51.11525,72.58964,358.2136
73.74757,-1.087437,2.574389,-1.661896,50.87119,71.46057,357.7647
73.7683,-1.079932,2.575185,-1.662576,50.49102,70.45168,357.436
73.77669,-1.072216,2.576027,-1.663306,50.15217,69.3791,357.0765
73.78439,-1.064691,2.576935,-1.663866,49.93284,68.26434,356.7434
73.79232,-1.057237,2.577946,-1.664522,49.85558,67.10094,356.3783
73.80341,-1.049949,2.578714,-1.664956,49.83716,65.95984,356.0008
73.82392,-1.043097,2.579283,-1.665498,49.8379,64.92715,355.6833
73.83215,-1.036327,2.579601,-1.66621,49.88279,63.92669,355.3643
73.83977,-1.030066,2.579851,-1.666963,50.09997,63.00764,355.0413
73.8476,-1.023647,2.580365,-1.667618,50.37799,62.10804,354.737
73.85847,-1.017494,2.580747,-1.668091,50.67517,61.36416,354.5073
73.86955,-1.011356,2.581155,-1.668443,50.90944,60.64992,354.2286
73.88071,-1.005261,2.581511,-1.668802,51.09253,59.92495,353.9234
73.90168,-0.999314,2.581884,-1.669223,51.25818,59.18351,353.5528
73.90983,-0.993464,2.582303,-1.669384,51.46006,58.47992,353.1611
73.91727,-0.987675,2.58276,-1.66949,51.61631,57.83603,352.7798
73.93472,-0.981804,2.583264,-1.669444,51.71458,57.31074,352.4494
73.9427,-0.975856,2.583636,-1.669291,51.75631,56.8961,352.1927
73.95021,-0.969682,2.584011,-1.668966,51.72779,56.66973,352.0436
73.95826,-0.963458,2.584355,-1.66862,51.67153,56.50825,351.9185
73.96976,-0.957104,2.584626,-1.668157,51.56503,56.42508,351.8645
73.98059,-0.950757,2.584716,-1.667557,51.42137,56.41684,351.8843
73.99157,-0.944429,2.584608,-1.666803,51.26021,56.42807,351.9166
74.00282,-0.938096,2.584394,-1.665969,51.1122,56.42099,351.9387
74.02361,-0.931969,2.584019,-1.665228,51.02133,56.37509,351.8929
74.03159,-0.925814,2.583609,-1.664209,51.03885,56.31293,351.8268
74.03909,-0.919792,2.583154,-1.663207,51.13778,56.21648,351.7333
74.0472,-0.913825,2.582661,-1.662006,51.28527,56.15379,351.6461
74.05826,-0.907813,2.582174,-1.660721,51.44146,56.12894,351.5652
74.06929,-0.901827,2.581477,-1.659206,51.56056,56.16451,351.4969
74.08048,-0.895871,2.580701,-1.657577,51.62278,56.24383,351.4759
74.09155,-0.889877,2.579912,-1.655745,51.69724,56.32045,351.4461
74.10274,-0.88389,2.579069,-1.65374,51.77302,56.35253,351.379
74.12354,-0.877783,2.578166,-1.651503,51.85828,56.32807,351.2364
74.13543,-0.871749,2.577213,-1.649387,51.95333,56.29704,351.0555
74.14317,-0.865835,2.576286,-1.646916,52.07233,56.224,350.7921
74.15076,-0.859949,2.575404,-1.644423,52.20206,56.18872,350.5587
74.15849,-0.854083,2.57454,-1.641706,52.30586,56.17241,350.3391
74.16936,-0.848081,2.573642,-1.638862,52.36887,56.21141,350.1698
74.18047,-0.842073,2.572663,-1.635825,52.36155,56.30724,350.075
74.19169,-0.835907,2.571559,-1.632647,52.29707,56.44721,350.0245
74.20271,-0.829652,2.57038,-1.629334,52.17652,56.59506,350.0227
74.2137,-0.823302,2.56915,-1.625833,52.05602,56.70959,350.0004
74.22512,-0.816912,2.56784,-1.622177,51.93563,56.8072,349.9848
74.2359,-0.81056,2.566352,-1.618377,51.79451,56.90614,349.9106
74.24711,-0.804069,2.564833,-1.614438,51.68169,57.00036,349.8395
74.2582,-0.797538,2.563118,-1.610368,51.53797,57.20347,349.8673
74.2791,-0.790726,2.561458,-1.606099,51.42598,57.41386,349.9094
74.29105,-0.783994,2.559727,-1.601882,51.28838,57.6726,349.9675
74.29894,-0.77713,2.557967,-1.597452,51.12968,57.94051,349.9936
74.3065,-0.770027,2.556217,-1.592601,50.93968,58.27554,350.0396
74.31422,-0.762831,2.554587,-1.587682,50.7999,58.60885,350.033
74.32484,-0.755404,2.553171,-1.582444,50.69446,59.00451,349.9389
74.34596,-0.747855,2.55186,-1.577222,50.56915,59.4734,349.849
74.35412,-0.74002,2.550734,-1.571802,50.35861,60.15079,349.8211
74.36151,-0.731948,2.549694,-1.566217,50.05622,61.00381,349.882
74.36929,-0.723793,2.548749,-1.56051,49.67232,61.9876,350.0183
74.38045,-0.715225,2.548267,-1.554482,49.30494,63.16098,350.2186
74.39152,-0.706374,2.54819,-1.548376,49.13641,64.24679,350.375
74.40263,-0.697502,2.548531,-1.542143,49.13466,65.21399,350.4502
74.41369,-0.688822,2.549057,-1.535945,49.22597,66.09535,350.5199
74.42482,-0.680158,2.549717,-1.529674,49.3356,66.89866,350.6139
74.44568,-0.671524,2.550553,-1.523606,49.48134,67.62402,350.712
74.45779,-0.66262,2.552191,-1.51769,49.86404,68.27701,350.8607
74.46562,-0.653892,2.553749,-1.512015,50.3131,68.92751,350.9894
74.47311,-0.645803,2.555169,-1.506696,50.66027,69.63198,351.1382
74.49007,-0.638203,2.55599,-1.501575,50.7502,70.5196,351.476
74.49818,-0.630705,2.556259,-1.496677,50.69377,71.46171,351.852
74.50571,-0.623246,2.556699,-1.49179,50.64606,72.44088,352.1426
74.51357,-0.61579,2.557384,-1.487223,50.66055,73.47697,352.4525
74.52477,-0.608091,2.558274,-1.482931,50.66898,74.41733,352.8648
74.53592,-0.600446,2.559324,-1.47879,50.79364,75.19678,353.2389
74.54718,-0.592689,2.560746,-1.474777,51.07512,75.92542,353.6768
74.55814,-0.585225,2.561975,-1.470842,51.36655,76.64592,354.0402
74.57909,-0.577778,2.56304,-1.467126,51.60511,77.32748,354.4263
74.5873,-0.570437,2.563983,-1.463565,51.77605,77.96959,354.8111
74.5947,-0.563336,2.564872,-1.460394,51.94099,78.54143,355.1303
74.60254,-0.556039,2.565839,-1.457142,52.13044,79.03783,355.4772
74.61406,-0.548858,2.566634,-1.45411,52.30946,79.4676,355.7523
74.62472,-0.541689,2.567357,-1.451122,52.42796,79.91086,356.0342
74.64564,-0.534764,2.567732,-1.448465,52.49797,80.30504,356.24
74.65381,-0.527842,2.568224,-1.445766,52.59562,80.67039,356.3944
74.66145,-0.520865,2.568427,-1.443463,52.70905,80.97865,356.5403
74.6788,-0.513915,2.568655,-1.441158,52.80662,81.26595,356.6984
74.68678,-0.506943,2.568725,-1.439023,52.88586,81.53287,356.8471
74.69403,-0.499947,2.56868,-1.437261,52.9482,81.65095,356.8965
74.70248,-0.492924,2.568566,-1.435574,53.01968,81.7361,356.9033
74.72329,-0.485878,2.568285,-1.4343,53.08023,81.74598,356.8883
74.73141,-0.478785,2.567894,-1.43312,53.12696,81.80801,356.9252
74.73875,-0.471532,2.567363,-1.432251,53.16946,81.89993,356.9612
74.75671,-0.464336,2.566805,-1.431439,53.2091,82.08022,357.0519
74.76871,-0.457055,2.566155,-1.430954,53.26475,82.29789,357.1911
74.77647,-0.449756,2.565435,-1.430616,53.34655,82.50938,357.3211
74.78387,-0.442394,2.564607,-1.430612,53.48266,82.62481,357.4244
74.79166,-0.434935,2.563705,-1.430724,53.62731,82.66865,357.4682
74.81228,-0.427231,2.562663,-1.431089,53.72324,82.70016,357.4634
74.82029,-0.419329,2.561645,-1.431428,53.75781,82.78681,357.5085
74.82764,-0.411167,2.560497,-1.432114,53.74673,82.93435,357.6018
74.84556,-0.402737,2.55926,-1.43302,53.68059,83.14208,357.7415
74.85381,-0.394167,2.557981,-1.434128,53.59782,83.38972,357.9755
74.86115,-0.385376,2.556516,-1.435558,53.51694,83.6179,358.2361
74.86919,-0.376662,2.554985,-1.437077,53.46436,83.80853,358.4877
74.88014,-0.367492,2.553412,-1.438859,53.42785,83.97968,358.759
74.89116,-0.358186,2.551814,-1.440672,53.35823,84.15709,359.0162
74.90246,-0.348733,2.55008,-1.442731,53.25237,84.2914,359.2657
74.9135,-0.339265,2.548225,-1.444962,53.12327,84.4099,359.4692
74.92491,-0.32945,2.546235,-1.447344,52.97141,84.47837,359.6296
74.93571,-0.319655,2.54419,-1.449761,52.82355,84.50674,359.7665
74.95661,-0.309673,2.542105,-1.452419,52.69767,84.47182,359.864
74.96473,-0.299654,2.54005,-1.455092,52.59609,84.39389,359.9112
74.97221,-0.289366,2.538068,-1.45804,52.52354,84.20973,359.8813
74.98017,-0.278941,2.536151,-1.460956,52.43809,83.97549,359.8084
74.99197,-0.268355,2.534202,-1.463917,52.32371,83.71989,359.7198
75.01209,-0.257574,2.532416,-1.467096,52.18245,83.43195,359.6785
75.0202,-0.24682,2.530825,-1.470289,52.06792,83.15015,359.7039
75.02759,-0.235785,2.529801,-1.473634,52.09244,82.79475,359.7976
75.0355,-0.224516,2.529297,-1.476839,52.21447,82.40723,359.877
75.04686,-0.212947,2.529651,-1.480348,52.49877,81.78946,359.9006
75.06777,-0.201769,2.529894,-1.483717,52.71922,81.2179,359.8922
75.07956,-0.190554,2.530988,-1.487052,53.08055,80.59375,359.8953
75.08752,-0.179225,2.53252,-1.490334,53.62997,79.96436,359.831
75.09485,-0.168235,2.534779,-1.493653,54.33475,79.29746,359.568
75.10258,-0.157787,2.536977,-1.496852,54.81058,78.71692,359.4398
75.1133,-0.147594,2.539241,-1.499875,55.00888,78.16555,359.4226
75.1243,-0.137454,2.541378,-1.502788,55.14077,77.58151,359.288
75.13562,-0.12741,2.543906,-1.505407,55.18795,76.97292,359.0804
75.14653,-0.1174,2.546514,-1.507849,54.97123,76.32793,358.9036
75.15768,-0.10754,2.548737,-1.510111,54.50648,75.63692,358.7631
75.17889,-0.097659,2.551014,-1.512101,53.99071,74.8661,358.5623
75.18692,-0.087843,2.553397,-1.514027,53.67735,74.06226,358.3064
75.19418,-0.078365,2.555947,-1.515299,53.46246,73.24525,358.0387
75.20202,-0.069162,2.558173,-1.516891,53.31502,72.43417,357.7664
75.21318,-0.06056,2.560035,-1.51838,53.22268,71.6179,357.5313
75.22442,-0.052388,2.561715,-1.519877,53.19181,70.80345,357.3177
75.24564,-0.04457,2.563104,-1.521447,53.18789,69.98969,357.1309
75.25372,-0.036913,2.564375,-1.52286,53.20022,69.15761,356.9539
75.26097,-0.029639,2.565441,-1.524308,53.23094,68.28141,356.7686
75.27852,-0.022411,2.566511,-1.52576,53.29631,67.2829,356.5715
75.28645,-0.015329,2.567554,-1.527168,53.3675,66.23034,356.363
75.2937,-0.008442,2.568329,-1.528374,53.38952,65.13842,356.1236
75.30212,-0.001705,2.569069,-1.529691,53.33187,64.11539,355.884
75.31321,0.004783,2.569533,-1.530934,53.23093,63.1278,355.6372
75.32431,0.011324,2.569903,-1.532216,53.15673,62.14214,355.3434
75.33552,0.017708,2.570191,-1.533585,53.12621,61.18122,355.0693
75.34647,0.024228,2.570519,-1.534763,53.08644,60.26391,354.7808
75.3576,0.03051,2.570757,-1.535862,53.0157,59.44481,354.4743
75.3688,0.036776,2.570877,-1.536939,52.9209,58.69229,354.1266
75.37991,0.043062,2.570922,-1.53773,52.81257,57.99108,353.7139
75.40074,0.049239,2.570947,-1.538322,52.74727,57.34134,353.2697
75.40884,0.055424,2.570983,-1.538735,52.71925,56.68419,352.7477
75.41623,0.061648,2.570982,-1.538991,52.67983,56.07981,352.2132
75.43406,0.067903,2.570929,-1.539101,52.63178,55.56268,351.6838
75.44202,0.074082,2.570708,-1.539231,52.52238,55.17741,351.222
75.44948,0.080256,2.570443,-1.539261,52.41248,54.93793,350.8965
75.4674,0.086448,2.570269,-1.539141,52.31318,54.75569,350.6815
75.47536,0.092618,2.569936,-1.53898,52.24938,54.58309,350.5458
75.48277,0.09878,2.569607,-1.538392,52.20362,54.45782,350.4593
75.49081,0.104817,2.569162,-1.537911,52.13274,54.29262,350.3457
